day,mean_nav,p5_nav,p95_nav
319,613.1962195679768,462.29893210712453,785.5193662351887
320,613.1908557481336,462.80892596543595,785.0832901574207
321,613.0109264029963,465.62696796299105,787.372322809394
322,613.3720599017713,462.98835528517475,785.1425404234417
323,613.5309344629712,464.3668382952161,784.7156981741815
324,613.570718112242,466.05751830987936,785.3399631087929
325,613.5612480350588,465.30282961773923,787.377939205004
326,613.7484170803237,464.194100123741,787.5517316357267
327,613.7075587427114,463.35421268234865,785.547767992941
328,613.9073814292998,463.23486110702015,785.4861914043281
329,614.1722159612547,464.9370995809783,786.4799765340376
330,614.1337553156961,465.74232813474686,788.6170217422435
331,614.1190200182259,464.8885136940177,784.9520612533271
332,614.0569268319824,464.5455741775544,786.6732773700652
333,614.0161669385014,463.1652753987458,786.7400970680683
334,613.8043461187876,460.9177106176473,782.6114091423483
335,614.0955767750456,462.5275792711356,784.2955648897439
336,614.3439512661714,462.4860432672997,787.2317905929867
337,614.1740433295407,462.4590408167882,788.5076288216145
338,614.356267408612,461.9061395011723,788.28563157406
339,614.1796207204787,461.7794891896525,791.1716896813433
340,614.2781808065761,461.6317534953483,792.3348772621781
341,613.9938675343896,462.8541466944703,795.4222721323972
342,614.1941388397514,461.0286356070106,791.0122583416479
343,613.9424203664688,460.7733066887481,791.8386722799539
344,613.4957314187511,459.7800200513493,791.3177686119452
345,613.5028214119429,459.76948633598676,790.945427027223
346,613.7246274037549,460.7237115857675,792.8091647048564
347,613.8354471246515,455.5309590152078,793.3951269294325
348,613.6318505026977,455.14966912326423,793.0425621052469
349,613.8821508338771,456.09427285323886,792.417913062478
350,614.0914390327797,457.9904870297221,794.6374248209382
351,614.5030263938181,456.7290436095792,796.5322703560574
352,614.4096495426505,460.7895491697381,799.4473227013785
353,614.7238234300987,458.49998403314527,796.6473166086536
354,615.0243486711952,460.2724371465598,800.4955620076481
355,614.9219500258015,460.0945387394492,793.2872816258341
356,615.1461143168015,461.2199825758445,798.6805713059786
357,615.1180716576882,459.80883458927497,794.526252229146
358,615.0654204624848,457.46740047431547,797.2809528389134
359,615.0877933991865,460.63455114605085,794.5137957706712
360,615.1428431181778,461.35524599439,805.1587426254748
361,615.2756490162003,457.6916658098767,800.871230907944
362,615.361553300775,460.1257021328553,800.2177574996592
363,615.6148862758492,460.4500803946719,800.5305904299205
364,615.5113078218827,461.2798248123006,801.6499236048963
365,615.5290443040246,459.26896692353296,802.9782961894323
366,615.6611411897643,459.460737025941,804.5572258363582
367,615.5500545237285,458.9347157824291,803.7956427665927
368,615.7460327204255,456.21466271930973,801.1295287022807
369,616.0796884744823,455.4446268480796,804.1806061054147
370,616.0810175404204,453.67743786451064,799.2871158156896
371,616.3572536782724,455.97435360052384,801.284833039692
372,616.7089108937251,455.86144351311475,802.4396218225661
373,616.6343476884073,455.84133098639415,805.413818400828
374,616.6976132443231,457.98881523189516,809.3664884347457
375,616.8447414625316,458.10436744340456,811.4706803501299
376,617.0653161703049,456.3251478770987,808.5419524834954
377,617.1458584396014,457.90022992651046,812.0112024899112
378,617.3947129404984,458.30253092821187,814.5122677521144
379,617.5492786461347,458.8655474307698,813.860471901651
380,617.7561737901432,461.14358010511995,813.5226660264303
381,617.7208257403225,457.8106604660655,808.5965400079978
382,617.8311191046827,457.6887924420389,809.5014883615756
383,617.8050409631987,459.15424975992863,808.366058357305
384,618.0216876169446,458.27096527906946,808.3422227461003
385,618.2466740370628,456.63314272740155,811.739484769451
386,618.2983282371048,458.7213388884482,813.0493340109788
